Query ID,Best Alpha,MRR
2,0.0,1.0
1048585,0.0,0.5
458771,0.0,1.0
163860,0.01,0.25
458774,0.0,0.5
917536,0.01,1.0
524332,0.0,0.05
786477,0.0,1.0
65583,0.0,0.5
65584,0.0,1.0
393268,0.0,0.5
491585,0.01,0.16666666666666666
1048642,0.01,0.08333333333333333
622658,0.01,0.022222222222222223
852037,0.0,0.5
327750,0.0,1.0
163912,0.0,0.14285714285714285
589903,0.0,0.03225806451612903
950355,0.01,1.0
262232,0,0
786520,0.0,0.25
688218,0.01,1.0
65627,0.01,0.14285714285714285
557157,0.0,0.5
196720,0.0,0.125
622725,0.01,0.16666666666666666
884870,0.01,0.3333333333333333
458885,0.0,0.3333333333333333
262280,0.0,0.5
622734,0.0,1.0
884878,0.01,0.2
524447,0.0,0.1111111111111111
393420,0.0,0.043478260869565216
1016013,0,0
1016015,0.0,0.5
852179,0.01,0.07142857142857142
295135,0.0,0.05
1081569,0.0,1.0
426214,0.0,0.2
65770,0.0,1.0
786674,0.0,0.25
393462,0.0,1.0
1081595,0.0,0.5
983299,0.01,1.0
1081609,0.0,0.3333333333333333
917789,0.0,1.0
1048876,0.0,0.5
622893,0.01,0.047619047619047616
917825,0.0,0.1
1048917,0.0,0.5
196949,0.01,0.06666666666666667
557401,0.01,0.16666666666666666
885081,0.0,0.04
1016154,0.0,1.0
786786,0.0,1.0
196963,0.0,1.0
557417,0.0,0.1111111111111111
426347,0.0,0.25
98682,0.0,1.0
1081730,0.01,0.043478260869565216
328072,0.0,0.1111111111111111
983438,0.0,1.0
524699,0.0,1.0
983451,0.0,1.0
197024,0.0,1.0
885153,0.01,0.05
819618,0.0,0.5
1048995,0.01,0.0625
65957,0.0,1.0
786857,0.01,1.0
524722,0.0,1.0
557492,0.0,0.5
164282,0.0,1.0
524733,0.0,0.015625
1016254,0.0,1.0
885184,0.0,1.0
754113,0.01,0.16666666666666666
426442,0.0,1.0
983499,0.01,1.0
1016281,0.01,0.06666666666666667
393696,0.0,1.0
786918,0.02,0.001937984496124031
295406,0.0,1.0
754166,0.0,1.0
983543,0.0,1.0
786937,0.0,1.0
1049085,0.0,0.25
98817,0.0,0.041666666666666664
721409,0.0,0.05555555555555555
688644,0.01,1.0
426504,0.0,0.16666666666666666
131597,0.01,0.018518518518518517
950799,0.0,1.0
459280,0.0,0.07142857142857142
754191,0.01,0.0036231884057971015
459291,0.0,0.5
98847,0.0,0.08333333333333333
524835,0.0,1.0
524848,0.0,1.0
885301,0.0,0.0036496350364963502
885308,0.0,0.03125
688711,0.0,0.3333333333333333
131665,0.0,1.0
1016406,0.05,0.002403846153846154
1081946,0.0,0.05
590433,0.0,0.027777777777777776
688739,0.0,0.3333333333333333
66154,0.01,0.16666666666666666
1049200,0.0,0.5
66161,0.01,1.0
426622,0.0,0.3333333333333333
1049221,0.01,0.2
1016460,0.01,0.3333333333333333
1082002,0.0,1.0
393881,0.0,1.0
983708,0.01,1.0
164528,0.01,0.16666666666666666
623281,0.01,0.25
131768,0.0,0.041666666666666664
885433,0.0,0.03225806451612903
230082,0.0,0.25
459481,0.0,1.0
393954,0.0,1.0
1016547,0.0,0.010309278350515464
66281,0.0,1.0
1082091,0.01,0.3333333333333333
1049329,0.0,1.0
1016565,0.01,1.0
525047,0.0,1.0
885505,0.04,0.004524886877828055
1082117,0.0,1.0
1016583,0.01,0.5
